node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
DB01048	155348	drug	protein	abacavir	pol
DB01048	3106	drug	protein	abacavir	HLA-B
DB00879	155348	drug	protein	emtricitabine	pol
DB00709	155348	drug	protein	lamivudine	pol
DB00300	155348	drug	protein	tenofovir-disoproxil	pol
DB00495	155348	drug	protein	zidovudine	pol
DB00495	7015	drug	protein	zidovudine	TERT
DB12301	155348	drug	protein	doravirine	pol
DB00625	155348	drug	protein	efavirenz	pol
DB06414	155348	drug	protein	etravirine	pol
DB06414	155030	drug	protein	etravirine	gag
DB00238	155348	drug	protein	nevirapine	pol
DB08864	155348	drug	protein	rilpivirine	pol
DB08864	8856	drug	protein	rilpivirine	NR1I2
DB08864	6336	drug	protein	rilpivirine	SCN10A
DB01072	155348	drug	protein	atazanavir	pol
DB01264	155348	drug	protein	darunavir	pol
DB01319	155348	drug	protein	fosamprenavir	pol
DB00503	155348	drug	protein	Ritonavir	pol
DB00932	155348	drug	protein	tipranavir	pol
DB00109	155971	drug	protein	enfuvirtide	env
DB04835	1234	drug	protein	maraviroc	CCR5
DB11751	155348	drug	protein	cabotegravir	pol
DB08930	155348	drug	protein	dolutegravir	pol
DB08930	5452	drug	protein	doluregravir	POU2F2
DB06817	155348	drug	protein	raltegravir	pol
DB11796	155971	drug	protein	fostemsavir	env
DB12698	1234	drug	protein	ibalizumab	CCR5
DB12698	7852	drug	protein	ibalizumab	CXCR4
DB12698	920	drug	protein	ibalizumab	CD4
DB15673	155030	drug	protein	lenacapavir	gag
DB09065	1576	drug	protein	Cobicistat	CYP3A4
DB09065	1577	drug	protein	Cobicistat	CYP3A5
DB09065	1551	drug	protein	Cobicistat	CYP3A7
