node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
C0019693	920	indication	protein	HIV	CD4
C0019693	1234	indication	protein	HIV	CCR5
C0019693	85363	indication	protein	HIV	TRIM5
C0019693	60489	indication	protein	HIV	APOBEC3G
C0019693	684	indication	protein	HIV	BST2
C0019693	7852	indication	protein	HIV	CXCR4
C0019693	904	indication	protein	HIV	CCNT1
C0019693	1025	indication	protein	HIV	CDK9
C0019693	1654	indication	protein	HIV	DDX3X
C0019693	7514	indication	protein	HIV	XPO1
C0019693	5901	indication	protein	HIV	RAN
C0019693	10656	indication	protein	HIV	KHDRBS3
C0019693	11168	indication	protein	HIV	PSIP1
C0019693	137492	indication	protein	HIV	VPS37A
C0019693	7251	indication	protein	HIV	TSG101
C0019693	10015	indication	protein	HIV	PDCD6IP
C0019693	10001	indication	protein	HIV	MED6
C0019693	9443	indication	protein	HIV	MED7
C0019693	5970	indication	protein	HIV	RELA
C0019693	9972	indication	protein	HIV	NUP153
C0019693	3716	indication	protein	HIV	JAK1
C0019693	207	indication	protein	HIV	AKT1
C0019693	9150	indication	protein	HIV	CTDP1
C0019693	8534	indication	protein	HIV	CHST1
C0019693	6924	indication	protein	HIV	ELOA
C0019693	4928	indication	protein	HIV	NUP98
C0019693	3178	indication	protein	HIV	HNRNPA1
C0019693	10346	indication	protein	HIV	TRIM22
C0019693	9730	indication	protein	HIV	DCAF1
C0019693	8945	indication	protein	HIV	BTRC
C0019693	155971	indication	protein	HIV	env
C0019693	156110	indication	protein	HIV	nef	
C0019693	155871	indication	protein	HIV	tat	
C0019693	155030	indication	protein	HIV	gag	
C0019693	155348	indication	protein	HIV	gag-pol
C0019693	155908	indication	protein	HIV	rev	
C0019693	155945	indication	protein	HIV	vpu	
C0019693	155807	indication	protein	HIV	vpr
C0019693	155459	indication	protein	HIV	vif	
