id,name,smiles
DB12010,fostamatinib,CC1(C(=O)N(C2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)COP(=O)(O)O)C
DB01169,Arsenic trioxide,[O-2].[O-2].[O-2].[As+3].[As+3]
DB00459,acitretin,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC
DB06803,Niclosamide,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
DB09462,Glycerin,C(C(CO)O)O
DB01593,zinc,[Zn]
DB02709,resveratrol,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O
DB06782,dimercaprol,C(C(CS)S)O
DB00746,deferoxamine-mesylate,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
DB01094,Hesperetin,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O
DB08827,lomitapide,C1CN(CCC1NC(=O)C2=CC=CC=C2C3=CC=C(C=C3)C(F)(F)F)CCCCC4(C5=CC=CC=C5C6=CC=CC=C64)C(=O)NCC(F)(F)F
DB00619,imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
DB01268,sunitinib,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C
DB06589,pazopanib,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N
DB00397,Phenylpropanolamine,C[C@H]([C@H](C1=CC=CC=C1)O)N
DB00368,norepinephrine,C1=CC(=C(C=C1[C@H](CN)O)O)O
DB00960,pindolol,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O
DB00598,labetalol,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O
DB00852,Pseudoephedrine,C[C@@H]([C@H](C1=CC=CC=C1)O)NC
DB00335,atenolol-(+/-),CC(C)NC[C@H](COC1=CC=C(C=C1)CC(=O)N)O
DB08985,etilefrine,CCNCC(C1=CC(=CC=C1)O)O
DB00187,esmolol,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O
DB04855,dronedarone,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC
DB01151,desipramine,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31
DB00726,trimipramine,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C
DB00489,sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
DB09068,vortioxetine,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C
DB01295,bevantolol,CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O
DB13345,DIHYDROERGOCRISTINE,CC(C)[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C
DB00521,carteolol,CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
DB00612,bisoprolol,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
DB01136,carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
DB01214,Metipranolol,CC1=CC(=C(C(=C1OC(=O)C)C)C)OCC(CNC(C)C)O
DB00221,isoetharine,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C
DB00127,Spermine,C(CCNCCCN)CNCCCN
DB11273,DIHYDROERGOCORNINE,CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@@H]4C[C@H]5[C@@H](CC6=CNC7=CC=CC5=C67)N(C4)C)O
DB00866,alprenolol,CC(C)NCC(COC1=CC=CC=C1CC=C)O
DB00571,propranolol,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
DB00871,terbutaline,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O
DB08807,bopindolol,CC1=CC2=C(N1)C=CC=C2OCC(CNC(C)(C)C)OC(=O)C3=CC=CC=C3
DB00334,olanzapine,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C
DB06262,droxidopa,C1=CC(=C(C=C1[C@H]([C@@H](C(=O)O)N)O)O)O
DB01359,penbutolol,CC(C)(C)NC[C@@H](COC1=CC=CC=C1C2CCCC2)O
DB05039,indacaterol,CCC1=C(C=C2CC(CC2=C1)NC[C@@H](C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC
