	nsc	conclusion	cid
0	48	CI	24180726
1	78	CI	5473379
2	128	CI	219185
3	163	CI	5284378
4	164	CI	54598311
5	170	CI	219201
6	180	CI	338
7	186	CI	54680783
8	192	CI	75196
9	203	CI	70861
10	210	CI	219213
11	211	CM	219214
12	213	CI	8409
13	220	CI	219216
14	229	CI	21397
15	256	CI	219233
16	258	CM	219234
17	262	CI	94718
18	377	CI	219294
19	416	CI	219308
20	439	CI	7109
21	453	CI	24180749
22	473	CI	7333
23	497	CI	219330
24	500	CI	219333
25	521	CI	21437
26	546	CI	94725
27	626	CI	219391
28	671	CI	7187
29	679	CI	67502
30	680	CI	2723699
31	737	CI	nan
32	740	CI	126941
33	742	CI	6331826
34	749	CI	135403646
35	750	CI	2478
36	752	CI	2723601
37	755	CI	667490
38	757	CI	6167
39	762	CI	5935
40	763	CI	679
41	779	CI	12712
42	780	CI	12134
43	788	CI	94738
44	838	CI	136089
45	839	CI	219470
46	982	CI	219548
47	989	CI	94743
48	992	CI	219553
49	994	CI	66027
50	995	CI	79258
51	1026	CI	2901
52	1027	CI	219573
53	1088	CI	219607
54	1104	CI	219612
55	1112	CI	15655
56	1115	CI	6508
57	1116	CI	76036
58	1118	CI	24180776
59	1122	CI	24180777
60	1124	CI	69256
61	1126	CI	24180778
62	1128	CI	66619
63	1135	CI	110646
64	1163	CI	68991
65	1168	CI	69037
66	1175	CI	219637
67	1183	CI	219641
68	1185	CI	219643
69	1231	CI	219665
70	1249	CI	66936
71	1296	CI	407049
72	1339	CI	66923
73	1347	CI	219694
74	1356	CI	219701
75	1362	CI	219705
76	1364	CI	79300
77	1386	CI	219725
78	1390	CI	135401907
79	1468	CI	407071
80	1541	CM	135523675
81	1543	CI	31208
82	1570	CI	3610
83	1736	CI	24180826
84	1756	CI	498027
85	1757	CI	219936
86	1771	CI	5455
87	1793	CI	5282251
88	1816	CI	54599597
89	1895	CI	15078
90	1898	CI	24180852
91	1899	CI	1201546
92	1906	CI	72508
93	1937	CI	9264
94	1986	CI	68185
95	2018	CI	1268120
96	2031	CI	10005
97	2035	CI	219996
98	2101	CI	5104
99	2184	CI	5443
100	2203	CI	79090
101	2253	CI	20278184
102	2339	CI	220083
103	2382	CI	54695425
104	2384	CI	1550330
105	2389	CI	25100
106	2441	CI	24180884
107	2452	CI	11964464
108	2483	CI	24180901
109	2520	CI	220172
110	2537	CI	24180909
111	2539	CI	220180
112	2565	CI	220194
113	2575	CI	24180910
114	2619	CI	31390
115	2667	CI	220225
116	2678	CI	220229
117	2687	CI	54605118
118	2689	CI	13436
119	2705	CI	24180920
120	2709	CI	220242
121	2713	CI	24180922
122	2726	CI	220252
123	2738	CI	18541926
124	2741	CI	24180925
125	2743	CI	54605119
126	2750	CI	24180928
127	2760	CI	9839867
128	2761	CI	11321
129	2765	CI	62347
130	2771	CI	75059
131	2775	CI	8749
132	2788	CI	75039
133	2798	CI	220282
134	2801	CI	471
135	2833	CI	4789
136	2858	CI	11175
137	2917	CI	nan
138	2918	CI	5148666
139	2963	CI	220345
140	2964	CI	220346
141	2965	CI	nan
142	2966	CI	220347
143	2968	CI	220349
144	2969	CI	220350
145	2972	CI	220353
146	2978	CI	220358
147	2979	CI	220359
148	2982	CI	220361
149	3051	CI	31254
150	3053	CI	44415057
151	3055	CI	5351454
152	3060	CI	54611691
153	3061	CI	4993
154	3062	CI	29142
155	3069	CI	5959
156	3077	CI	16207143
157	3086	CI	95350
158	3088	CI	2708
159	3090	CI	11057
160	3091	CI	84671
161	3096	CI	220401
162	3097	CI	459226
163	3098	CI	135496447
164	3110	CI	15689
165	3124	CI	7729
166	3140	CI	220409
167	3141	CI	220410
168	3184	CI	6165447
169	3208	CI	135436481
170	3225	CI	77342
171	3235	CI	18325733
172	3255	CI	220459
173	3264	CI	24180959
174	3286	CI	220466
175	3319	CI	79372
176	3348	CI	220500
177	3360	CI	54690173
178	3364	CI	5351457
179	3389	CI	220519
180	3390	CI	220521
181	3415	CI	220524
182	3416	CI	2727973
183	3417	CI	24180968
184	3420	CI	220526
185	3422	CI	24180971
186	3427	CI	220527
187	3428	CI	220528
188	3429	CI	220529
189	3430	CI	220530
190	3469	CI	220564
191	3590	CI	135436482
192	3598	CI	54601731
193	3609	CI	23617190
194	3627	CI	135408732
195	3690	CI	54603153
196	3691	CI	220668
197	3695	CI	138464
198	3740	CI	94807
199	3767	CI	111185
200	3846	CI	220711
201	3851	CI	7541
202	3852	CI	19103
203	3865	CM	220721
204	3875	CI	24699
205	3899	CI	nan
206	3904	CI	2722
207	3927	CI	6870
208	3929	CI	135436492
209	3937	CI	3922705
210	3951	CI	6855
211	4056	CA	nan
212	4108	CI	220802
213	4114	CI	72675
214	4120	CI	7920
215	4140	CI	16321
216	4236	CI	668053
217	4238	CI	5713121
218	4239	CI	12605846
219	4265	CI	73350
220	4280	CI	65237
221	4300	CI	135436497
222	4305	CI	220857
223	4318	CI	54601732
224	4323	CI	717531
225	4367	CI	135408743
226	4375	CI	12947
227	4416	CI	407360
228	4419	CI	21497
229	4429	CI	220912
230	4436	CI	87571
231	4438	CI	94829
232	4447	CI	74475
233	4462	CI	40065
234	4479	CI	220934
235	4492	CM	54609062
236	4493	CM	9561029
237	4500	CI	5351459
238	4516	CI	220949
239	4559	CI	94834
240	4560	CI	220980
241	4566	CI	7496
242	4589	CI	220996
243	4595	CI	54604873
244	4599	CI	24181082
245	4645	CM	2723630
246	4646	CI	3080
247	4647	CI	6439
248	4659	CI	407389
249	4660	CI	407390
250	4726	CI	65047
251	4728	CI	19909
252	4737	CI	10788
253	4744	CI	23619811
254	4745	CI	221043
255	4760	CI	24181099
256	4763	CI	24181100
257	4767	CI	7347
258	4771	CI	66921
259	4798	CI	6966
260	4823	CI	61049
261	4851	CI	23363435
262	4857	CI	21192315
263	4867	CI	21583979
264	4896	CI	5004
265	4910	CI	221074
266	4926	CI	221085
267	4935	CI	221093
268	4946	CI	221103
269	4971	CI	2723
270	5007	CI	221118
271	5011	CI	12449
272	5015	CA	9874931
273	5034	CI	8592
274	5038	CI	221197
275	5042	CI	1273211
276	5059	CI	54604926
277	5063	CI	221124
278	5066	CI	69095
279	5067	CI	5463299
280	5068	CM	5463294
281	5069	CI	221125
282	5085	CI	66826
283	5105	CI	4943
284	5111	CI	74509
285	5112	CI	5284639
286	5157	CI	54688361
287	5196	CI	4383682
288	5220	CI	84862
289	5226	CI	16241
290	5239	CI	66926
291	5268	CI	67189
292	5283	CI	13820
293	5302	CI	5354284
294	5343	CI	79574
295	5346	CI	8409
296	5366	CI	275196
297	5428	CI	221195
298	5467	CI	221222
299	5495	CI	22210394
300	5547	CI	519218
301	5548	CI	5351463
302	5553	CI	3083903
303	5638	CI	80190
304	5640	CI	5937687
305	5648	CI	11102
306	5654	CI	94864
307	5727	CI	407453
308	5729	CI	5917
309	5731	CI	22111443
310	5738	CI	407457
311	5768	CI	221324
312	5769	CI	5337685
313	5770	CI	221326
314	5771	CI	5337688
315	5774	CI	5906676
316	5820	CI	95382
317	5866	CI	221367
318	5870	CI	7092
319	5884	CI	221370
320	5889	CI	5646
321	5890	CI	5646
322	5900	CI	221373
323	5947	CI	221391
324	5995	CI	221427
325	6016	CI	20860
326	6068	CI	221479
327	6091	CI	2955
328	6129	CI	5378548
329	6136	CI	221494
330	6137	CI	221495
331	6196	CM	407495
332	6244	CI	5286961
333	6292	CI	6
334	6303	CI	8631
335	6365	CI	6503
336	6386	CI	23616896
337	6396	CI	5453
338	6440	CI	221585
339	6470	CI	9568055
340	6517	CI	94883
341	6519	CI	94884
342	6738	CI	3039
343	6740	CI	12865176
344	6741	CI	196994
345	6742	CI	6314514
346	6743	CI	197064
347	6745	CI	5437
348	6746	CI	13196
349	6836	CI	79442
350	6846	CI	221788
351	6957	CI	521980
352	7212	CI	6293
353	7214	CI	16836
354	7223	CI	135422055
355	7224	CI	73013
356	7226	CI	6700
357	7229	CA	54601156
358	7231	CA	135436507
359	7296	CI	499987
360	7308	CI	64159
361	7333	CI	135403802
362	7340	CI	3053
363	7346	CI	5351624
364	7348	CI	79444
365	7364	CI	24466
366	7387	CM	222091
367	7519	CI	457798
368	7520	CI	10098
369	7521	CI	222154
370	7522	CI	222155
371	7525	CI	222156
372	7526	CI	222157
373	7528	CI	77494
374	7571	CI	8643
375	7576	CI	24181285
376	7592	CI	222174
377	7598	CI	54602011
378	7636	CI	904
379	7669	CA	nan
380	7711	CI	135436508
381	7760	CI	135410029
