id	name	similarity
DB01048	abacavir	0.43307495
DB11796	fostemsavir	0.34518236
DB00109	enfuvirtide	0.34518236
DB00495	zidovudine	0.32321656
DB01319	fosamprenavir	0.31099278
DB01264	darunavir	0.31099278
DB00709	lamivudine	0.31099278
DB12301	doravirine	0.31099278
DB00625	efavirenz	0.31099278
DB00238	nevirapine	0.31099278
DB01072	atazanavir	0.31099278
DB00879	emtricitabine	0.31099278
DB00932	tipranavir	0.31099278
DB11751	cabotegravir	0.31099278
DB06817	raltegravir	0.31099278
DB08930	doluregravir	0.30565384
DB06414	etravirine	0.29832143
DB15673	lenacapavir	0.28320476
DB04835	maraviroc	0.25829053
DB12698	ibalizumab	0.20087153
T0000000	test_drug	0.07498014
DB08864	rilpivirine	-0.07759835
DB09065	Cobicistat	-0.17194022
DB00300	tenofovir-disoproxil	-3.8232722
DB11656	rebamipide	-3.9464955
revaprazan		-3.9480228
DB11635	tocofersolan	-3.9535847
DB00979	cyclopentolate	-3.9565284
DB11181	homatropine	-3.961547
DB01265	telbivudine	-3.9851155
DB00503	Ritonavir	-3.997839
DB01271	Idursulfase	-4.014222
DB01438	Phenazopyridine	-4.019375
ammonium-lactate		-4.022475
DB11235	thonzylamine	-4.026459
DB05521	telaprevir	-4.0295095
DB08873	boceprevir	-4.0325923
DB06290	simeprevir	-4.0419497
DB00857	terbinafine	-4.048813
DB00400	griseofulvin	-4.049858
taltirelin		-4.051664
DB08835	Spaglumic acid	-4.052125
DB00403	Ceruletide	-4.0541744
DB08802	Isothipendyl	-4.0564294
DB09040	efinaconazole	-4.0569105
DB01167	itraconazole	-4.0569105
buflomedil		-4.062749
DB00787	acyclovir	-4.0678215
DB00298	dapiprazole	-4.0737114
DB01036	tolterodine	-4.07426
DB00496	darifenacin	-4.07426
DB01591	solifenacin-succinate	-4.07426
DB06702	fesoterodine	-4.07426
DB00209	trospium	-4.0755715
DB11071	phenyl-salicylate	-4.0757165
DB08871	Eribulin	-4.0761924
DB04967		-4.0769744
DB05630	Sodium stibogluconate	-4.077922
DB06697		-4.081263
DB08893	mirabegron	-4.0815926
DB01106	levocabastine	-4.082886
DB00342	Terfenadine	-4.082897
DB06803	Niclosamide	-4.0832877
DB01062	oxybutynin	-4.083975
DB00921	Buprenorphine	-4.0865912
